ADDRESS,YEAR BUILT, SALE PRICE 
276 DAHLGREN PLACE,1899,0
251 DAHLGREN PLACE,1935,0
873 68TH STREET,1930,"1,400,000"
858 68TH STREET,1940,0
6820 FT HAMILTON PARKWAY,1931,"1,280,000"
229 61ST STREET,1910,0
242 61ST STREET,1899,0
217 62ND STREET,1925,"1,325,000"
262 62ND STREET,1920,0
525 66TH STREET,1920,1
220 WAKEMAN PLACE,1915,0
6740 RIDGE BOULEVARD,1905,0
6746 RIDGE BOULEVARD,1905,"1,228,000"
224 SENATOR STREET,1925,"1,470,000"
470 SENATOR STREET,1925,"1,480,000"
547 SENATOR STREET,1920,0
531 SENATOR STREET,1920,0
6717 7 AVENUE,1930,0
6821 NARROWS AVENUE,1925,0
235 BAY RIDGE AVENUE,1925,10
235 BAY RIDGE AVENUE,1925,"1,065,000"
219 BAY RIDGE AVENUE,1925,0
360 68TH STREET,1920,0
370 68TH STREET,1915,0
339 BAY RIDGE AVENUE,1915,0
6803 7TH AVENUE,1925,"445,000"
715 BAY RIDGE AVENUE,1925,0
15 70TH STREET,1945,0
74 BAY RIDGE AVENUE,1925,0
74 BAY RIDGE AVENUE,1925,0
86 BAY RIDGE AVENUE,1925,0
107 70TH STREET,1925,"1,465,000"
73 70TH STREET,1925,"999,000"
149 70TH STREET,1925,"1,360,000"
6925 3RD AVENUE,1920,0
342 BAY RIDGE AVENUE,1915,0
6925 7TH AVE,1925,"1,690,000"
718 BAY RIDGE AVENUE,1925,0
824 BAY RIDGE AVENUE,1925,"1,750,000"
6900 FORT HAMILTON PARKWAY,1931,0
7039 COLONIAL ROAD,1930,0
7023 RIDGE CREST TERRACE,1925,"1,035,000"
245 71ST STREET,1910,0
7124 NARROWS AVENUE,1925,0
25 72ND STREET,1925,"1,375,000"
7111 NARROWS AVENUE,1925,"1,338,000"
7109 NARROWS AVENUE,1925,"1,300,000"
72 71ST STREET,1925,0
102 71ST STREET,1925,"1,400,000"
7114 COLONIAL RD,1925,0
7124 COLONIAL ROAD,1925,"1,602,500"
103 72ND STREET,1910,0
7116 RIDGE BOULEVARD,1925,"1,440,000"
369 72ND STREET,1910,"1,248,000"
313 72ND STREET,1910,"900,000"
469 72ND STREET,1905,0
433 72ND STREET,1905,"1,350,000"
7107 5 AVENUE,1907,"3,200,000"
572 OVINGTON AVENUE,1910,"1,275,000"
7028 6TH AVENUE,1925,"1,488,000"
569 72ND STREET,1910,"1,250,000"
626 OVINGTON AVENUE,1925,500
7010 8 AVENUE,1905,"1,450,000"
802 70TH STREET,1935,0
814 70 STREET,1935,"1,600,000"
7112 FORT HAMILTON PARKWAY,1930,0
7230 NARROWS AVENUE,1925,0
93 73RD STREET,1920,"1,470,000"
89 73RD STREET,1920,10
250 72ND STREET,1925,"1,420,000"
424 72ND STREET,1901,"1,275,000"
7224 5 AVENUE,1931,0
431 73RD STREET,1905,"1,320,000"
7212 6TH AVENUE,1940,"1,864,000"
604 72ND STREET,1901,0
822 72ND STREET,1899,"990,000"
882 72ND STREET,1925,"1,371,000"
827 73RD STREET,1925,"1,477,000"
807 73RD ST,1910,"1,590,000"
93 74TH STREET,1925,0
119 74TH STREET,1925,0
117 74TH STREET,1925,"350,000"
310 73RD STREET,1931,0
438 73RD STREET,1905,0
522 73RD STREET,1899,"1,280,000"
546 73RD STREET,1915,0
552 73RD STREET,1910,0
537 74TH STREET,1901,0
7309 6 AVENUE,1930,"1,200,000"
44 74TH STREET,1940,"1,515,000"
103 BAY RIDGE PARKWAY,1930,0
368 74TH STREET,1901,0
327 BAY RIDGE PARKWAY,1901,"957,155"
560 74TH STREET,1899,0
581 BAY RIDGE PARKWAY,1899,"1,290,000"
561 BAY RIDGE PARKWAY,1899,"1,290,000"
68 BAY RIDGE PARKWAY,1920,0
68 BAY RIDGE PARKWAY,1920,"1,550,000"
167 76TH STREET,1899,"1,925,000"
329 76TH STREET,1905,0
458 BAY RIDGE PARKWAY,1910,"1,245,000"
435 76 STREET,1925,"1,390,000"
535 76TH STREET,1920,"1,200,000"
531 76TH STREET,1920,"995,000"
515 76TH STREET,1920,0
67 77TH STREET,1925,"1,600,000"
516 76TH STREET,1910,"1,150,000"
518 76TH STREET,1910,0
548 76 STREET,1910,"1,325,000"
644 76TH STREET,1910,"1,280,644"
80 77 STREET,1925,"1,450,000"
426 77TH STREET,1905,0
452 77TH STREET,1899,"1,220,000"
458 77TH STREET,1899,"1,771,000"
569 78TH STREET,1920,0
511 78TH STREET,1920,0
84 78TH STREET,1925,"2,550,000"
240 78TH STREET,1920,"2,650,000"
7820 3 AVENUE,1928,0
368 78TH STREET,1925,"985,000"
516 78TH STREET,1925,0
531 79TH STREET,1925,0
634 78TH STREET,1925,0
7910 COLONIAL ROAD,1960,0
